"Address","Occurrences","Meta Keywords 1","Meta Keywords 1 Length","Indexability","Indexability Status"
"https://magicworksitsolutions.com/","1","digital marketing agency Pune,AI marketing agency India,performance marketing agency,SEO AEO agency Pune,web development Pune,AI consultation India","147","Indexable",""
"https://magicworksitsolutions.com/services","1","digital marketing agency Pune,AI marketing agency India,performance marketing agency,SEO AEO agency Pune,web development Pune,AI consultation India","147","Indexable",""
"https://magicworksitsolutions.com/insights/reports","1","digital marketing agency Pune,AI marketing agency India,performance marketing agency,SEO AEO agency Pune,web development Pune,AI consultation India","147","Indexable",""
"https://magicworksitsolutions.com/careers","1","digital marketing agency Pune,AI marketing agency India,performance marketing agency,SEO AEO agency Pune,web development Pune,AI consultation India","147","Indexable",""
"https://magicworksitsolutions.com/industries/manufacturing","1","digital marketing agency Pune,AI marketing agency India,performance marketing agency,SEO AEO agency Pune,web development Pune,AI consultation India","147","Indexable",""
"https://magicworksitsolutions.com/services/ai-consultation","1","digital marketing agency Pune,AI marketing agency India,performance marketing agency,SEO AEO agency Pune,web development Pune,AI consultation India","147","Indexable",""
"https://magicworksitsolutions.com/group/magicflow-ai","1","digital marketing agency Pune,AI marketing agency India,performance marketing agency,SEO AEO agency Pune,web development Pune,AI consultation India","147","Indexable",""
"https://magicworksitsolutions.com/industries/professional-services","1","digital marketing agency Pune,AI marketing agency India,performance marketing agency,SEO AEO agency Pune,web development Pune,AI consultation India","147","Indexable",""
"https://magicworksitsolutions.com/services/digital-marketing","1","digital marketing agency Pune,AI marketing agency India,performance marketing agency,SEO AEO agency Pune,web development Pune,AI consultation India","147","Indexable",""
"https://magicworksitsolutions.com/industries/real-estate","1","digital marketing agency Pune,AI marketing agency India,performance marketing agency,SEO AEO agency Pune,web development Pune,AI consultation India","147","Indexable",""
"https://magicworksitsolutions.com/industries/education","1","digital marketing agency Pune,AI marketing agency India,performance marketing agency,SEO AEO agency Pune,web development Pune,AI consultation India","147","Indexable",""
"https://magicworksitsolutions.com/blog","1","digital marketing agency Pune,AI marketing agency India,performance marketing agency,SEO AEO agency Pune,web development Pune,AI consultation India","147","Indexable",""
"https://magicworksitsolutions.com/privacy","1","digital marketing agency Pune,AI marketing agency India,performance marketing agency,SEO AEO agency Pune,web development Pune,AI consultation India","147","Non-Indexable","noindex"
"https://magicworksitsolutions.com/work","1","digital marketing agency Pune,AI marketing agency India,performance marketing agency,SEO AEO agency Pune,web development Pune,AI consultation India","147","Indexable",""
"https://magicworksitsolutions.com/about","1","digital marketing agency Pune,AI marketing agency India,performance marketing agency,SEO AEO agency Pune,web development Pune,AI consultation India","147","Indexable",""
"https://magicworksitsolutions.com/terms","1","digital marketing agency Pune,AI marketing agency India,performance marketing agency,SEO AEO agency Pune,web development Pune,AI consultation India","147","Non-Indexable","noindex"
