"Address","Status Code","Status","HTML Word Count","Rendered HTML Word Count","Word Count Change","JS Word Count %","HTML Title","Rendered HTML Title","HTML H1","Rendered HTML H1","HTML Meta Description","Rendered HTML Meta Description","HTML Canonical","Rendered HTML Canonical","Unique Inlinks","Unique JS Inlinks","Unique Outlinks","Unique JS Outlinks","Unique External Outlinks","Unique External JS Outlinks","HTML Meta Robots 1","HTML Meta Robots 2","Rendered HTML Meta Robots 1","Pretty URL","Ugly URL","JS Error","JS Warning","JS Info","JS Debug","JS Issue"
"https://magicworksitsolutions.com/","200","OK","486","0","","","MagicWorks · AI-First Digital Marketing Agency in Pune · MagicWorks","","Human strategy. Machine acceleration.","","Human strategy, machine acceleration. We turn traffic, leads, and operations into predictable revenue for ambitious Indian businesses. Book a discovery call.","","https://magicworksitsolutions.com/","","101","0","22","0","6","0","index, follow","index, follow","","https://magicworksitsolutions.com/","https://magicworksitsolutions.com/","","","","",""
"https://magicworksitsolutions.com/services","200","OK","172","0","","","Services · MagicWorks","","Four pillars. Two that deliver, two that advise.","","Four service pillars: Digital Marketing, Web Development, AI Consultation, and Marketplace & Platform Consultation. Two that deliver, two that advise.","","https://magicworksitsolutions.com/services","","5","0","21","0","6","0","index, follow","index, follow","","https://magicworksitsolutions.com/services","https://magicworksitsolutions.com/services","","","","",""
"https://magicworksitsolutions.com/insights/reports","200","OK","646","0","","","Reports · Insights · MagicWorks","","In-depth playbooks, free with your email.","","Downloadable research reports from MagicWorks on AI adoption, performance marketing, and digital strategy for Indian businesses.","","https://magicworksitsolutions.com/insights/reports","","101","0","28","0","6","0","index, follow","index, follow","","https://magicworksitsolutions.com/insights/reports","https://magicworksitsolutions.com/insights/reports","","","","",""
"https://magicworksitsolutions.com/careers","200","OK","437","0","","","Careers at MagicWorks · MagicWorks","","Build what is next. Join MagicWorks.","","Join MagicWorks IT Solutions in Pune. We are hiring across digital marketing, web development, AI, design, and operations. See open roles.","","https://magicworksitsolutions.com/careers","","101","0","30","0","6","0","index, follow","index, follow","","https://magicworksitsolutions.com/careers","https://magicworksitsolutions.com/careers","","","","",""
"https://magicworksitsolutions.com/industries/manufacturing","200","OK","389","0","","","Digital Marketing & AI Consultation for Manufacturing · MagicWorks","","Digital presence and AI readiness for Indian manufacturers.","","MagicWorks is the Priority 1 AI Consultation vertical for manufacturing. Digital presence, B2B lead generation, and AI process roadmaps for Indian manufacturers.","","https://magicworksitsolutions.com/industries/manufacturing","","101","0","21","0","6","0","index, follow","index, follow","","https://magicworksitsolutions.com/industries/manufacturing","https://magicworksitsolutions.com/industries/manufacturing","","","","",""
"https://magicworksitsolutions.com/services/ai-consultation","200","OK","738","0","","","AI Consultation for Founders & Operators · MagicWorks","","A clear, defensible AI roadmap.","","A clear, defensible AI roadmap. Consultation only: we advise and design the path, and you choose who builds it. Independent AI advisory for Indian businesses.","","https://magicworksitsolutions.com/services/ai-consultation","","101","0","27","0","6","0","index, follow","index, follow","","https://magicworksitsolutions.com/services/ai-consultation","https://magicworksitsolutions.com/services/ai-consultation","","","","",""
"https://magicworksitsolutions.com/group/magicflow-ai","200","OK","218","0","","","MagicFlow AI · MagicWorks Group · MagicWorks","","MagicFlow AI","","MagicFlow AI is an AI product from the MagicWorks Group, a SaaS chatbot and automation platform for businesses. Part of the MagicWorks family.","","https://magicworksitsolutions.com/group/magicflow-ai","","101","0","22","0","7","0","index, follow","index, follow","","https://magicworksitsolutions.com/group/magicflow-ai","https://magicworksitsolutions.com/group/magicflow-ai","","","","",""
"https://magicworksitsolutions.com/industries/professional-services","200","OK","394","0","","","AI Consultation & Digital Marketing for Professional Services · MagicWorks","","Trusted advisors advising trusted advisors.","","MagicWorks works with CA firms, law practices, consultancies, and advisory firms. Priority 2 vertical for AI Consultation. Trusted advisors advising trusted advisors.","","https://magicworksitsolutions.com/industries/professional-services","","101","0","21","0","6","0","index, follow","index, follow","","https://magicworksitsolutions.com/industries/professional-services","https://magicworksitsolutions.com/industries/professional-services","","","","",""
"https://magicworksitsolutions.com/services/digital-marketing","200","OK","896","0","","","Digital Marketing Agency in Pune · MagicWorks","","Predictable revenue from traffic and leads.","","Predictable revenue from traffic and leads. Ten digital marketing services on a monthly retainer, with a commission tier for larger ad spends. Book a call.","","https://magicworksitsolutions.com/services/digital-marketing","","101","0","33","0","6","0","index, follow","index, follow","","https://magicworksitsolutions.com/services/digital-marketing","https://magicworksitsolutions.com/services/digital-marketing","","","","",""
"https://magicworksitsolutions.com/industries/real-estate","200","OK","329","0","","","Digital Marketing & Web for Real Estate · MagicWorks","","Qualified buyer enquiries for every project launch.","","MagicWorks helps real estate developers generate qualified buyer enquiries. 6,500+ units in pipeline for Aishwaryam with below-benchmark CPL.","","https://magicworksitsolutions.com/industries/real-estate","","101","0","21","0","6","0","index, follow","index, follow","","https://magicworksitsolutions.com/industries/real-estate","https://magicworksitsolutions.com/industries/real-estate","","","","",""
"https://magicworksitsolutions.com/industries/education","200","OK","326","0","","","Digital Marketing & Web Development for Education · MagicWorks","","High-intent student enquiries, compounding year on year.","","MagicWorks helps education businesses generate high-intent student enquiries. See how we drove 75,000+ qualified leads per year for SimpliDistance.","","https://magicworksitsolutions.com/industries/education","","101","0","21","0","6","0","index, follow","index, follow","","https://magicworksitsolutions.com/industries/education","https://magicworksitsolutions.com/industries/education","","","","",""
"https://magicworksitsolutions.com/blog","200","OK","1796","0","","","Blog · MagicWorks","","Practical thinking on marketing, AI, and growth.","","Practical thinking on digital marketing, AI, web development, and business growth from the MagicWorks team.","","https://magicworksitsolutions.com/blog","","101","0","47","0","6","0","index, follow","index, follow","","https://magicworksitsolutions.com/blog","https://magicworksitsolutions.com/blog","","","","",""
